"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Slc37a1",220.123059717553,-1.26986827939897,0.156222309445007,-8.12859753456654,4.34285611363903e-16,2.61651983597792e-14
"Gm15800",746.961437926964,-0.724227989149402,0.0891151593854809,-8.12687756093938,4.40489915066564e-16,2.63710710425487e-14
"Larp4b",1447.22264383783,-0.396267459543316,0.048762293411614,-8.1265139889613,4.41812535973503e-16,2.63710710425487e-14
"Itga8",321.058163765614,-1.4267169206439,0.175610127961589,-8.12434303877939,4.4979197800106e-16,2.67230576559611e-14
"Helz",378.514190948451,-0.670239948689376,0.0825293224531546,-8.12123411130411,4.61466885694598e-16,2.72903435212847e-14
"Plpp3",3343.78260436348,-0.806501853831344,0.0994032182899383,-8.11343805266895,4.92072857227546e-16,2.89136440831813e-14
"Tjp1",2076.07583654652,-0.622664745454933,0.0767480160868072,-8.11310542217348,4.93422274933117e-16,2.89136440831813e-14
"Rasl10b",2908.29547476563,0.79345102653434,0.0978579506935911,8.10819173005945,5.13786214498207e-16,2.9970084048434e-14
"Klf9",3237.29404248112,-0.903467716543891,0.111566387894211,-8.0980278522647,5.58572826008082e-16,3.24351360912295e-14
"Lmo7",8891.20506179517,-0.781565578611936,0.0965244762256189,-8.09707142865073,5.62980195658046e-16,3.25438056345932e-14
